<2016-10-03 15:13:28,989> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:32,509> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160928/52065.html Title:2016年悬疑恐怖《安娜华特的离奇命运》BD中英双字幕
<2016-10-03 15:13:32,510> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160927/52059.html Title:2015年奇幻动作《麦斯卡：黑暗孢子》BD中英双字幕
<2016-10-03 15:13:32,512> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160927/52058.html Title:2016年悬疑惊悚《张震讲故事之合租屋》HD国语中字
<2016-10-03 15:13:32,512> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160926/52052.html Title:2016年伍迪·艾伦执导喜剧《咖啡公社》BD中英双字幕
<2016-10-03 15:13:32,513> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160926/52051.html Title:2016年恐怖《黑暗/米兰达街6号》BD中英双字幕
<2016-10-03 15:13:32,513> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160926/52050.html Title:2016年爱情《爱情与友谊/情人与知己》BD中英双字幕
<2016-10-03 15:13:32,515> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160925/52042.html Title:2016年科幻动作《独立日：卷土重来》HD中英双字幕
<2016-10-03 15:13:32,552> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160923/52023.html Title:2016年冒险动作《终极硬汉》HD国语中字
<2016-10-03 15:13:32,559> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160922/52017.html Title:2016年惠英红《幸运是我》HD国粤双语中字
<2016-10-03 15:13:32,562> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160921/52010.html Title:2016年动作《泰山归来：险战丛林》HD中英双字幕
<2016-10-03 15:13:32,569> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160925/52042.html
<2016-10-03 15:13:32,569> INFO/dytt_spider/printHomePageUrls, Line:161: Index Lastest movies: Url:/html/gndy/jddy/20160921/52009.html Title:2016年惊悚《悬案密码/信仰的阴谋》BD中英双字幕
<2016-10-03 15:13:32,573> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160930/52080.html
<2016-10-03 15:13:32,625> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160923/52023.html
<2016-10-03 15:13:32,651> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160930/52079.html
<2016-10-03 15:13:32,693> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160922/52017.html
<2016-10-03 15:13:32,697> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160929/52072.html
<2016-10-03 15:13:32,736> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160921/52010.html
<2016-10-03 15:13:32,765> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160929/52071.html
<2016-10-03 15:13:32,799> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160921/52009.html
<2016-10-03 15:13:32,835> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160928/52065.html
<2016-10-03 15:13:32,905> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160927/52059.html
<2016-10-03 15:13:32,927> ERROR/dytt_spider/getHomePageMovieDetail, Line:183: get url :http://www.ygdy8.net/html/gndy/jddy/20160921/52009.html failed
<2016-10-03 15:13:32,930> INFO/dytt_spider/print_all_movies_detail, Line:137: movie_list len :13
<2016-10-03 15:13:32,930> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年动作《美国迦顿》BD中英双字幕 ReleaseTime:发布时间：2016-09-30 majorPicUrl:http://pic.yupoo.com/st136386207/FRpQvDNX/uZJpF.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160930/23/178343444201609302309434148739122358_003.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:8161/[阳光电影www.ygdy8.com].美国迦顿.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:32,930> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年悬疑恐怖《诡新娘/鬼新娘》HD国语中字 ReleaseTime:发布时间：2016-09-30 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_001.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_003.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:9128/[阳光电影www.ygdy8.com].诡新娘.HD.720p.国语中字.rmvb
<2016-10-03 15:13:32,930> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年爱情喜剧《我最好朋友的婚礼》HD国语中字 ReleaseTime:发布时间：2016-09-29 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_005.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:8189/[阳光电影www.ygdy8.com].我最好朋友的婚礼.HD.720p.国语中字.rmvb
<2016-10-03 15:13:32,931> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2015年科幻《森林深处/进入森林》BD中英双字幕 ReleaseTime:发布时间：2016-09-29 majorPicUrl:http://pic.yupoo.com/hdarea/FSItZfkC/KpeVY.jpg" width="584" height="965 summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_004.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:9127/[阳光电影www.ygdy8.com].森林深处.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:32,931> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年悬疑恐怖《安娜华特的离奇命运》BD中英双字幕 ReleaseTime:发布时间：2016-09-28 majorPicUrl:http://i4.buimg.com/567571/d641e18d115fbb45.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160915/23/178343444201609152325571634281224392_008.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:9189/[阳光电影www.ygdy8.com].安娜华特的离奇命运.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:32,933> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年悬疑惊悚《张震讲故事之合租屋》HD国语中字 ReleaseTime:发布时间：2016-09-27 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160924/16/178343444201609241623193410982467129_001.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160927/20/178343444201609272037093855499120263_000.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:8187/[阳光电影www.ygdy8.com].张震讲故事之合租屋.HD.720p.国语中字.mkv
<2016-10-03 15:13:32,933> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年伍迪·艾伦执导喜剧《咖啡公社》BD中英双字幕 ReleaseTime:发布时间：2016-09-26 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_001.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_003.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:8186/[阳光电影www.ygdy8.com].咖啡公社.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:32,933> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年恐怖《黑暗/米兰达街6号》BD中英双字幕 ReleaseTime:发布时间：2016-09-26 majorPicUrl:http://pic.yupoo.com/st136386207/FNxV6qvJ/D7Bi3.jpg" width="622" height="1503 summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_002.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:9187/[阳光电影www.ygdy8.com].黑暗.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:32,934> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年爱情《爱情与友谊/情人与知己》BD中英双字幕 ReleaseTime:发布时间：2016-09-26 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_004.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:8159/[阳光电影www.ygdy8.com].爱情与友谊.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:32,944> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年科幻动作《独立日：卷土重来》HD中英双字幕 ReleaseTime:发布时间：2016-09-25 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160825/18/178343444201608251812092751987603105_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160925/21/178343444201609252143203351574538343_002.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:9186/[阳光电影www.ygdy8.com].独立日：卷土重来.HD.720p.中英双字幕.rmvb
<2016-10-03 15:13:32,944> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年冒险动作《终极硬汉》HD国语中字 ReleaseTime:发布时间：2016-09-23 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160923/11/178343444201609231102513385502791302_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160923/11/178343444201609231102513385502791302_001.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:8184/[阳光电影www.ygdy8.com].终极硬汉.HD.720p.国语中字.rmvb
<2016-10-03 15:13:32,946> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年惠英红《幸运是我》HD国粤双语中字 ReleaseTime:发布时间：2016-09-22 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160922/10/178343444201609221048272281012728486_002.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160922/18/178343444201609221841234203229929609_000.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:9183/[阳光电影www.ygdy8.com].幸运是我.HD.720p.国粤双语中字.mkv
<2016-10-03 15:13:32,946> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年动作《泰山归来：险战丛林》HD中英双字幕 ReleaseTime:发布时间：2016-09-21 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160921/20/178343444201609212006402253816500138_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160921/20/178343444201609212006402253816500138_002.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:9125/[阳光电影www.ygdy8.com].泰山归来：险战丛林.HD.720p.中英双字幕.rmvb
<2016-10-03 15:13:33,013> ERROR/dytt_spider/getHomePageMovieDetail, Line:183: get url :http://www.ygdy8.net/html/gndy/jddy/20160927/52059.html failed
<2016-10-03 15:13:33,015> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160927/52058.html
<2016-10-03 15:13:33,065> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160926/52052.html
<2016-10-03 15:13:33,128> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160926/52051.html
<2016-10-03 15:13:33,206> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160926/52050.html
<2016-10-03 15:13:33,263> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160925/52042.html
<2016-10-03 15:13:33,313> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160923/52023.html
<2016-10-03 15:13:33,375> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160922/52017.html
<2016-10-03 15:13:33,444> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160921/52010.html
<2016-10-03 15:13:33,486> INFO/dytt_spider/getHomePageMovieDetail, Line:180: http://www.ygdy8.net/html/gndy/jddy/20160921/52009.html
<2016-10-03 15:13:33,667> ERROR/dytt_spider/getHomePageMovieDetail, Line:183: get url :http://www.ygdy8.net/html/gndy/jddy/20160921/52009.html failed
<2016-10-03 15:13:33,668> INFO/dytt_spider/print_all_movies_detail, Line:137: movie_list len :13
<2016-10-03 15:13:33,670> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年动作《美国迦顿》BD中英双字幕 ReleaseTime:发布时间：2016-09-30 majorPicUrl:http://pic.yupoo.com/st136386207/FRpQvDNX/uZJpF.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160930/23/178343444201609302309434148739122358_003.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:8161/[阳光电影www.ygdy8.com].美国迦顿.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:33,670> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年悬疑恐怖《诡新娘/鬼新娘》HD国语中字 ReleaseTime:发布时间：2016-09-30 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_001.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_003.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:9128/[阳光电影www.ygdy8.com].诡新娘.HD.720p.国语中字.rmvb
<2016-10-03 15:13:33,671> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年爱情喜剧《我最好朋友的婚礼》HD国语中字 ReleaseTime:发布时间：2016-09-29 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_005.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:8189/[阳光电影www.ygdy8.com].我最好朋友的婚礼.HD.720p.国语中字.rmvb
<2016-10-03 15:13:33,671> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2015年科幻《森林深处/进入森林》BD中英双字幕 ReleaseTime:发布时间：2016-09-29 majorPicUrl:http://pic.yupoo.com/hdarea/FSItZfkC/KpeVY.jpg" width="584" height="965 summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160929/21/178343444201609292118161122819177158_004.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:9127/[阳光电影www.ygdy8.com].森林深处.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:33,673> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年悬疑恐怖《安娜华特的离奇命运》BD中英双字幕 ReleaseTime:发布时间：2016-09-28 majorPicUrl:http://i4.buimg.com/567571/d641e18d115fbb45.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160915/23/178343444201609152325571634281224392_008.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:9189/[阳光电影www.ygdy8.com].安娜华特的离奇命运.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:33,674> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年悬疑惊悚《张震讲故事之合租屋》HD国语中字 ReleaseTime:发布时间：2016-09-27 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160924/16/178343444201609241623193410982467129_001.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160927/20/178343444201609272037093855499120263_000.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:8187/[阳光电影www.ygdy8.com].张震讲故事之合租屋.HD.720p.国语中字.mkv
<2016-10-03 15:13:33,674> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年伍迪·艾伦执导喜剧《咖啡公社》BD中英双字幕 ReleaseTime:发布时间：2016-09-26 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_001.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_003.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:8186/[阳光电影www.ygdy8.com].咖啡公社.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:33,674> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年恐怖《黑暗/米兰达街6号》BD中英双字幕 ReleaseTime:发布时间：2016-09-26 majorPicUrl:http://pic.yupoo.com/st136386207/FNxV6qvJ/D7Bi3.jpg" width="622" height="1503 summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_002.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:9187/[阳光电影www.ygdy8.com].黑暗.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:33,676> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年爱情《爱情与友谊/情人与知己》BD中英双字幕 ReleaseTime:发布时间：2016-09-26 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160926/16/178343444201609261607081361462535884_004.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:8159/[阳光电影www.ygdy8.com].爱情与友谊.BD.720p.中英双字幕.rmvb
<2016-10-03 15:13:33,676> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年科幻动作《独立日：卷土重来》HD中英双字幕 ReleaseTime:发布时间：2016-09-25 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160825/18/178343444201608251812092751987603105_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160925/21/178343444201609252143203351574538343_002.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:9186/[阳光电影www.ygdy8.com].独立日：卷土重来.HD.720p.中英双字幕.rmvb
<2016-10-03 15:13:33,677> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年冒险动作《终极硬汉》HD国语中字 ReleaseTime:发布时间：2016-09-23 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160923/11/178343444201609231102513385502791302_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160923/11/178343444201609231102513385502791302_001.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:8184/[阳光电影www.ygdy8.com].终极硬汉.HD.720p.国语中字.rmvb
<2016-10-03 15:13:33,677> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年惠英红《幸运是我》HD国粤双语中字 ReleaseTime:发布时间：2016-09-22 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160922/10/178343444201609221048272281012728486_002.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160922/18/178343444201609221841234203229929609_000.jpg FtpURL:ftp://ygdy8:ygdy8@y219.dydytt.net:9183/[阳光电影www.ygdy8.com].幸运是我.HD.720p.国粤双语中字.mkv
<2016-10-03 15:13:33,677> INFO/dytt_spider/print_all_movies_detail, Line:139: Title:2016年动作《泰山归来：险战丛林》HD中英双字幕 ReleaseTime:发布时间：2016-09-21 majorPicUrl:http://image18.poco.cn/mypoco/myphoto/20160921/20/178343444201609212006402253816500138_000.jpg summaryPicUrl:http://image18.poco.cn/mypoco/myphoto/20160921/20/178343444201609212006402253816500138_002.jpg FtpURL:ftp://ygdy8:ygdy8@y153.dydytt.net:9125/[阳光电影www.ygdy8.com].泰山归来：险战丛林.HD.720p.中英双字幕.rmvb
<2016-10-03 15:13:34,947> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:35,680> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:36,954> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:37,680> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:38,963> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:39,681> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:40,966> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:41,686> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:42,973> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:43,690> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:44,973> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:45,696> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:46,976> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:47,697> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:48,984> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:49,703> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:50,989> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:51,717> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:52,990> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:53,720> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:54,990> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:55,723> WARNING/spider_entrance/run, Line:29: in thread 
<2016-10-03 15:13:56,990> WARNING/spider_entrance/run, Line:29: in thread 
